預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,success,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price,time_expected,fb讚
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,117338,success,39,2,50,50000,30.249305555555555,0,9.0,1,0,0,0,4,"[650, 1800, 3450, 5500]",30.25,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28079,success,24,1,27,8888,29.165972222222223,0,5.0,0,0,1,1,4,"[1799, 999, 749, 999]",1.1666666666666667,16537
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364900,success,78,13,203,10000,36.49930555555556,2,15.0,1,0,1,1,9,"[2640, 1380, 2760, 1480, 2980, 1680, 7680, 23600, 54000]",128.5,6017
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,516116,success,45,4,342,100000,30.666666666666668,2,5.0,1,1,1,0,8,"[1249, 1549, 1299, 1599, 1399, 1699, 64950, 79950]",97.58333333333333,17889
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22700,success,16,1,27,20000,39.16597222222222,0,8.0,0,1,1,1,5,"[100, 300, 350, 550, 1500]",39.166666666666664,386
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21801,success,15,1,23,10000,29.25,0,7.0,0,0,1,1,3,"[975, 1140, 1224]",8.166666666666666,114
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30081,success,28,3,40,30000,41.49930555555556,1,5.0,1,0,1,1,7,"[210, 800, 225, 240, 466, 900, 1800]",41.5,45
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608960,success,43,1,777,100000,39.49930555555556,0,15.0,1,0,1,1,7,"[720, 990, 3500, 1700, 2600, 120, 690]",74.5,46731
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,660135,success,64,4,377,100000,42.54097222222222,8,10.0,0,0,1,1,10,"[2520, 1480, 899, 5040, 1580, 2780, 24000, 55220, 1400, 2420]",74.54166666666667,931
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433706,success,73,6,195,50000,43.208333333333336,3,9.0,0,0,1,0,12,"[1730, 3400, 1790, 1890, 8950, 16500, 249, 449, 249, 349, 1590, 1590]",104.16666666666667,69
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121850,success,37,3,73,120000,33.583333333333336,0,5.0,0,0,1,1,10,"[750, 350, 400, 950, 1050, 1750, 1000, 4000, 20000, 30000]",45.5,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2605655,success,34,2,2287,100000,39.625,6,7.0,0,0,0,0,8,"[880, 1700, 4000, 480, 960, 4800, 5600, 850]",14.541666666666666,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,426680,success,54,4,255,100000,45.66597222222222,0,10.0,1,1,1,1,4,"[1680, 3360, 1780, 1580]",46.5,6649
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117600,success,42,1,12,100000,47.583333333333336,0,,0,0,0,0,2,"[9800, 10800]",50.5,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289532,success,76,3,129,100000,46.12430555555556,2,6.0,0,0,0,0,14,"[999, 1958, 4650, 1680, 3300, 7950, 299, 168, 168, 333, 333, 1740, 3420, 8250]",202.125,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,972643,success,62,2,76,300000,41.12430555555556,1,,1,0,0,0,8,"[12999, 10999, 14999, 11999, 25500, 62500, 4200, 4200]",21.125,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,426120,success,64,3,121,50000,44.12430555555556,0,12.0,0,0,0,0,11,"[3990, 2040, 7920, 2400, 330, 1990, 3960, 1990, 3960, 1990, 3960]",52.125,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1809789,success,89,1,545,100000,48.583333333333336,6,6.0,1,0,1,1,16,"[3499, 15499, 2999, 1899, 2399, 499, 299, 1199, 549, 249, 599, 599, 499, 3599, 3899, 4699]",83.5,3566
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,521787,success,43,1,98,100000,42.583333333333336,1,2.0,0,0,0,0,10,"[3699, 6199, 6900, 11900, 13400, 23400, 3899, 6499, 3499, 5999]",83.5,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178480,success,33,2,93,100000,52.58263888888889,0,5.0,1,0,1,1,5,"[1080, 1980, 1180, 2300, 19800]",52.583333333333336,141718
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1644191,success,40,4,285,200000,51.291666666666664,9,5.0,0,0,0,0,15,"[19750, 16300, 3450, 650, 660, 40, 3750, 3850, 6850, 4950, 10550, 10700, 16300, 3450, 1050]",87.20833333333333,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,success,34,6,16,20000,54.99930555555556,1,1.0,1,0,1,1,6,"[1750, 1850, 476, 3600, 5300, 8700]",146.45833333333334,188
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460860,success,20,2,251,300000,46.12430555555556,0,6.0,1,0,1,1,5,"[860, 930, 600, 1700, 600]",57.125,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,214881,success,43,2,39,100000,47.41597222222222,0,6.0,1,0,1,0,9,"[2790, 5390, 2890, 5590, 4590, 5890, 3140, 13150, 2990]",27.416666666666668,3810
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3721054,success,55,1,935,200000,57.49930555555556,0,4.0,0,0,0,0,14,"[999, 579, 2080, 12800, 25800, 12800, 25800, 579, 1079, 2080, 279, 999, 2080, 12800]",58.5,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1045108,success,50,1,390,800000,56.49930555555556,0,3.0,0,0,0,0,8,"[748, 1600, 2500, 3600, 6000, 12000, 50000, 300]",148.5,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,890945,success,35,1,819,100000,47.49930555555556,3,8.0,1,1,1,1,7,"[1600, 850, 1000, 780, 1520, 1398, 750]",59.5,33376
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487304,success,63,0,505,200000,54.583333333333336,2,14.0,1,0,1,1,12,"[880, 1379, 499, 980, 1700, 1599, 2999, 8000, 4999, 6999, 799, 850]",59.5,1775
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1064451,success,57,1,865,100000,51.625,0,17.0,1,0,1,0,4,"[1290, 2500, 4800, 1190]",60.541666666666664,42527
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273620,success,56,1,99,100000,60.208333333333336,3,,0,0,1,1,4,"[2680, 4980, 2680, 2480]",61.125,296
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2112246,success,53,1,476,100000,60.168055555555554,15,7.0,1,0,0,0,17,"[4888, 3500, 2600, 1999, 6720, 6000, 3600, 4320, 2352, 1171, 1950, 1750, 968, 1250, 658, 378, 975]",33.166666666666664,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1100242,success,64,2,613,50000,63.49930555555556,3,5.0,0,0,0,0,14,"[799, 1249, 599, 1538, 3600, 19470, 35940, 799, 1249, 1538, 35940, 699, 749, 1199]",65.5,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109015,success,70,1,81,100000,56.0,0,9.0,0,1,1,1,7,"[1040, 2120, 2640, 3500, 1928, 9080, 1600]",97.11041666666667,103
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1999224,success,58,1,2233,100000,56.25,18,15.0,0,0,1,0,6,"[1220, 650, 3420, 5400, 580, 1100]",66.16666666666667,605
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2417453,success,58,9,764,100000,63.49930555555556,6,15.0,0,0,1,0,10,"[3090, 3790, 3190, 3890, 799, 1399, 2990, 3690, 2990, 3690]",97.5,7451
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2678249,success,42,5,882,200000,64.12430555555555,5,15.0,1,0,1,1,15,"[7990, 3490, 2990, 990, 699, 290, 9990, 4490, 3990, 3490, 2990, 2490, 2490, 2490, 3990]",126.125,1441
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9872228,success,53,2,6316,200000,68.12430555555555,71,10.0,1,0,1,0,13,"[1260, 840, 2460, 1560, 4780, 3080, 7500, 14400, 35000, 50000, 1200, 790, 770]",41.125,66210
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278140,success,42,1,79,120000,72.49930555555555,1,22.0,0,1,1,0,8,"[1800, 3600, 4800, 4200, 5840, 9600, 990, 200]",345.5,2503
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149500,success,41,1,25,100000,72.49930555555555,1,6.0,1,0,1,0,8,"[4980, 7880, 2980, 4980, 7880, 2980, 15200, 86000]",72.5,973
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3350366,success,28,9,1585,100000,61.49930555555556,35,6.0,1,0,1,1,7,"[2289, 4174, 60, 19710, 120, 2087, 2174]",103.5,1098
